Date      = Sat Apr 23 23:40:39 EDT 2022
host      = c0909a-s35
Directory = /blue/ctolerfranklin/michaelperez012/videogan-pytorch
Model restored
Epoch 9/10 | Iter 166/30188 | D 8.4773e-03 | G 5.8836e+00 | Real 0.98 | Fake 0.00
Epoch 9/10 | Iter 167/30188 | D 2.7376e-03 | G 8.3837e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 168/30188 | D 2.9414e-02 | G 7.7200e+00 | Real 0.97 | Fake 0.03
Epoch 9/10 | Iter 169/30188 | D 1.9365e-01 | G 1.0780e+01 | Real 1.00 | Fake 0.24
Epoch 9/10 | Iter 170/30188 | D 3.5301e-02 | G 1.0644e+01 | Real 0.94 | Fake 0.00
Epoch 9/10 | Iter 171/30188 | D 6.5808e-04 | G 9.8323e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 172/30188 | D 1.5683e-02 | G 1.1758e+01 | Real 0.97 | Fake 0.00
Epoch 9/10 | Iter 173/30188 | D 5.6228e-03 | G 1.1803e+01 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 174/30188 | D 1.0634e-03 | G 1.0829e+01 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 175/30188 | D 1.2113e-01 | G 8.5482e+00 | Real 0.82 | Fake 0.00
Epoch 9/10 | Iter 176/30188 | D 2.2059e-02 | G 6.6930e+00 | Real 0.98 | Fake 0.02
Epoch 9/10 | Iter 177/30188 | D 1.0261e-02 | G 5.5899e+00 | Real 1.00 | Fake 0.02
Epoch 9/10 | Iter 178/30188 | D 2.4113e-02 | G 2.6116e+00 | Real 1.00 | Fake 0.05
Epoch 9/10 | Iter 179/30188 | D 7.4063e-02 | G 4.9518e+00 | Real 1.00 | Fake 0.11
Epoch 9/10 | Iter 180/30188 | D 9.8141e-04 | G 8.7133e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 181/30188 | D 1.2982e-03 | G 8.7186e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 182/30188 | D 2.0302e-02 | G 1.0136e+01 | Real 0.96 | Fake 0.00
Epoch 9/10 | Iter 183/30188 | D 2.2474e-04 | G 8.9778e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 184/30188 | D 3.7208e-02 | G 6.5576e+00 | Real 0.96 | Fake 0.02
Epoch 9/10 | Iter 185/30188 | D 2.3212e-03 | G 7.4269e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 186/30188 | D 8.4209e-03 | G 8.2998e+00 | Real 0.98 | Fake 0.00
Epoch 9/10 | Iter 187/30188 | D 4.0226e-03 | G 6.0939e+00 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 188/30188 | D 2.1021e-03 | G 6.2279e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 189/30188 | D 6.3764e-03 | G 9.1537e+00 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 190/30188 | D 1.6985e-02 | G 5.0433e+00 | Real 1.00 | Fake 0.03
Epoch 9/10 | Iter 191/30188 | D 1.9578e-03 | G 6.4184e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 192/30188 | D 2.4548e-02 | G 7.6198e+00 | Real 0.96 | Fake 0.00
Epoch 9/10 | Iter 193/30188 | D 9.4792e-03 | G 7.0861e+00 | Real 0.99 | Fake 0.00
Epoch 9/10 | Iter 194/30188 | D 4.4430e-02 | G 9.9500e+00 | Real 1.00 | Fake 0.08
Epoch 9/10 | Iter 195/30188 | D 6.1483e-03 | G 6.8282e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 196/30188 | D 7.5462e-04 | G 7.0234e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 197/30188 | D 1.9185e-03 | G 7.5708e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 198/30188 | D 1.5519e-02 | G 9.4222e+00 | Real 0.99 | Fake 0.01
Epoch 9/10 | Iter 199/30188 | D 3.4488e-02 | G 6.9984e+00 | Real 0.94 | Fake 0.00
Epoch 9/10 | Iter 200/30188 | D 8.0670e-02 | G 4.5773e+00 | Real 0.90 | Fake 0.00
Epoch 9/10 | Iter 201/30188 | D 3.9690e-03 | G 4.9861e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 202/30188 | D 2.1639e-02 | G 3.6860e+00 | Real 1.00 | Fake 0.04
Epoch 9/10 | Iter 203/30188 | D 8.2793e-03 | G 2.0337e+00 | Real 1.00 | Fake 0.02
Epoch 9/10 | Iter 204/30188 | D 2.3941e-03 | G 2.9301e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 205/30188 | D 6.9374e-02 | G 1.0002e+01 | Real 1.00 | Fake 0.12
Epoch 9/10 | Iter 206/30188 | D 4.2543e-03 | G 5.3205e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 207/30188 | D 9.0272e-04 | G 9.9674e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 208/30188 | D 3.5201e-02 | G 8.3342e+00 | Real 0.94 | Fake 0.00
Epoch 9/10 | Iter 209/30188 | D 1.4052e-03 | G 9.3540e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 210/30188 | D 6.5240e-04 | G 9.7451e+00 | Real 1.00 | Fake 0.00
Epoch 9/10 | Iter 211/30188 | D 8.5482e-03 | G 9.6981e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 212/30188 | D 1.0193e-02 | G 8.8284e+00 | Real 0.99 | Fake 0.01
Epoch 9/10 | Iter 213/30188 | D 8.5628e-02 | G 5.4560e+00 | Real 0.87 | Fake 0.00
Epoch 9/10 | Iter 214/30188 | D 3.9821e-03 | G 5.5493e+00 | Real 1.00 | Fake 0.01
Epoch 9/10 | Iter 215/30188 | D 1.1641e-02 | G 6.0051e+00 | Real 1.00 | Fake 0.02
